================================================================================
OMOTENASHI CONCIERGE TOOL SELECTION EVALUATION REPORT
Date: 2025-06-21
Test Cases: 100
================================================================================

OVERALL PERFORMANCE:
----------------------------------------
Precision: 0.403 (56/139)
Recall:    0.589 (56/95)
F1 Score:  0.479
Tests:     100

PER-TOOL PERFORMANCE:
----------------------------------------
Tool                      Precision  Recall     F1         TP    FP    FN   
--------------------------------------------------------------------------------
guest_profile             0.286      0.750      0.414      12    30    4    
booking_details           0.352      1.000      0.521      19    35    0    
property_info             0.762      1.000      0.865      16    5     0    
escalate_to_manager       0.222      0.200      0.211      2     7     8    
schedule_cleaning         0.200      0.091      0.125      1     4     10   
modify_checkout_time      0.750      0.545      0.632      6     2     5    
request_transport         0.000      0.000      0.000      0     0     12   

PER-CATEGORY PERFORMANCE:
----------------------------------------
Category             Precision  Recall     F1         Tests 
----------------------------------------------------------------------
transport            0.000      0.000      0.000      10    
guest_info           0.750      0.800      0.774      15    
multi_tool           0.455      0.500      0.476      5     
cleaning             0.056      0.100      0.071      10    
booking_info         1.000      1.000      1.000      15    
checkout             0.240      0.600      0.343      10    
escalation           0.222      0.200      0.211      10    
cleaning_vague       0.000      0.000      0.000      5     
no_tool              0.000      0.000      0.000      5     
property_info        0.652      1.000      0.789      15    

DETAILED TEST RESULTS:
----------------------------------------
Test   1 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test   2 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test   3 ✗ | Expected: guest_profile                  | Actual: guest_profile, booking_details | guest_info
Test   4 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test   5 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   6 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test   7 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test   8 ✗ | Expected: guest_profile                  | Actual: guest_profile, booking_details | guest_info
Test   9 ✗ | Expected: guest_profile                  | Actual: guest_profile, booking_details | guest_info
Test  10 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test  11 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  12 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  13 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test  14 ✗ | Expected: guest_profile                  | Actual: guest_profile, booking_details | guest_info
Test  15 ✓ | Expected: guest_profile                  | Actual: guest_profile                  | guest_info
Test  16 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  17 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  18 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  19 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  20 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  21 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  22 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  23 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  24 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  25 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  26 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  27 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  28 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  29 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  30 ✓ | Expected: booking_details                | Actual: booking_details                | booking_info
Test  31 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  32 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  33 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  34 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  35 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  36 ✗ | Expected: property_info                  | Actual: property_info, schedule_cleaning | property_info
Test  37 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  38 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  39 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  40 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  41 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  42 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  43 ✓ | Expected: property_info                  | Actual: property_info                  | property_info
Test  44 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
Test  45 ✗ | Expected: property_info                  | Actual: escalate_to_manager, property_info | property_info
