================================================================================
OMOTENASHI CONCIERGE TOOL SELECTION EVALUATION REPORT
Date: 2025-06-22
Test Cases: 100
================================================================================

OVERALL PERFORMANCE:
----------------------------------------
Precision: 0.000 (0/0)
Recall:    0.000 (0/95)
F1 Score:  0.000
Tests:     100

PER-TOOL PERFORMANCE:
----------------------------------------
Tool                      Precision  Recall     F1         TP    FP    FN   
--------------------------------------------------------------------------------
guest_profile             0.000      0.000      0.000      0     0     16   
booking_details           0.000      0.000      0.000      0     0     19   
property_info             0.000      0.000      0.000      0     0     16   
schedule_cleaning         0.000      0.000      0.000      0     0     11   
modify_checkout_time      0.000      0.000      0.000      0     0     11   
request_transport         0.000      0.000      0.000      0     0     12   
escalate_to_manager       0.000      0.000      0.000      0     0     10   

PER-CATEGORY PERFORMANCE:
----------------------------------------
Category             Precision  Recall     F1         Tests 
----------------------------------------------------------------------
property_info        0.000      0.000      0.000      15    
checkout             0.000      0.000      0.000      10    
cleaning_vague       0.000      0.000      0.000      5     
escalation           0.000      0.000      0.000      10    
multi_tool           0.000      0.000      0.000      5     
no_tool              0.000      0.000      0.000      5     
booking_info         0.000      0.000      0.000      15    
cleaning             0.000      0.000      0.000      10    
guest_info           0.000      0.000      0.000      15    
transport            0.000      0.000      0.000      10    

DETAILED TEST RESULTS:
----------------------------------------
Test   1 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   2 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   3 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   4 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   5 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   6 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   7 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   8 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test   9 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  10 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  11 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  12 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  13 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  14 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  15 ✗ | Expected: guest_profile                  | Actual: None                           | guest_info
Test  16 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  17 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  18 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  19 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  20 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  21 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  22 ✗ | Expected: booking_details                | Actual: None                           | booking_info
Test  23 ✗ | Expected: booking_details                | Actual: None                           | booking_info
